Ville,Température actuelle,Température ressentie,Température minimale,Température maximale,Pression atmosphérique,Humidité,Vitesse du vent,Direction du vent,Lever du soleil,Coucher du soleil
Paris,10.3,8.8,9.5,11.25,1026,54,7.72,40,05:24:51,18:22:48
Marseille,16.92,15.69,13.97,17.59,1011,39,6.26,275,05:16:58,18:05:29
Lyon,7.44,7.44,5.75,8.17,1019,82,0.45,28,05:18:42,18:11:05
Toulouse,11.92,10.89,11.01,11.99,1021,66,5.66,290,05:32:58,18:21:56
Nice,9.97,8.91,8.34,12.21,1012,55,2.33,156,05:09:27,17:58:59
Nantes,7.96,4.98,7.81,7.96,1025,76,5.14,60,05:42:06,18:37:00
Strasbourg,8.13,4.47,7.14,9.45,1026,53,7.2,70,05:03:34,18:00:56
Montpellier,17.41,16.25,16.29,18.05,1014,40,6.17,340,05:23:14,18:12:11
Bordeaux,13.15,12.04,13.15,14.63,1022,58,3.6,50,05:40:04,18:31:01
Lille,10.14,8.49,8.85,11.6,1028,49,5.66,50,05:20:16,18:21:42
